tid,track,track_url,release_date,duration_ms,explicit,track_popularity,markets,albid,album,album_type,artid,artist,genres,artist_popularity,danceability,instrumentalness,speechiness,valence,loudness,added_at,lyrics
7scINjDU13FTbCakH7bf2E,Outside,https://open.spotify.com/track/7scINjDU13FTbCakH7bf2E,2021-05-19,191976,True,51,185,3s9e6NFuPRzU2WUdSvLGi6,Outside,single,3zaDigUwjHvjOkSn0NDf9x,Bnxn,"['afrobeats', 'nigerian pop']",68,0.771,0.00314,0.218,0.78,-6.198,2024-06-07,
5bhYAsnG12L5MN5iDOE2N8,PRITI PRITI,https://open.spotify.com/track/5bhYAsnG12L5MN5iDOE2N8,2024-05-17,158625,False,49,185,3uSky6AVqFcwv3ckXchanM,PRITI PRITI,single,0IUp0l21VlpoOz8525KfAJ,Mack H.D,['rap ecuatoguineano'],48,0.759,0.0,0.297,0.583,-6.87,2024-06-07,
7ntM53dOW04arVYab4T9qc,Squander (feat. Niniola & Sayfar) - Remix,https://open.spotify.com/track/7ntM53dOW04arVYab4T9qc,2021-04-12,230128,False,24,185,2Cd8ooZQ2nuN0QwlIGJWo4,Squander (Remix) [feat. Niniola & Sayfar],single,2s187JqHC9kipPLBLWXubl,Falz,"['afrobeats', 'afropop', 'nigerian hip hop', 'nigerian pop']",49,0.847,0.000179,0.0701,0.611,-6.625,2024-06-07,"['Haibo Yebo', 'Heh Wena', 'Hola Bade', 'When I pull up, wa tseba go monate', 'We the chop life', 'Ongenamali one side', 'Rollie on my wrist one time', ""Sphelil' iskhathi samapopay, Haibo Yebo"", 'Everything crispy', 'Bad boys they wanna kiss me', ""I don't Party with anybody"", 'Louis, Versace cover my body', 'All over my body (Party) go monate', ""I don't Party with anybody"", 'Louis, Versace cover my body', 'All over my body', 'Three minus one plus three plus three', 'Or calculate 24 divided by three', 'Simple arithmetic, that is a figure 8', 'Je ka conversate', ""Sho ri bi mo Shey fresh pel'Agbada"", 'Wey the gator sharp kakraka', 'Everything sha pra pra pra', 'Dj bring it back, dapada', 'Ina kwana, Ina gajiya', 'Everything e mara mma', 'Kalanyi wete cash for squander', 'Ina kwana, Ina gajiya', 'Everything e mara mma', ""Ka'anyi wete cash for squander"", 'Mo gapa n ga pa', ""Because I'm a bae"", 'Mo gapa n ga pa', ""Because I'm a diamond"", 'Mo gapa n ga pa', ""Because I'm a bae"", 'Mo gapa n ga pa ee', ""Bathi' sebenzel' ukuba nemali"", ""Men In Black intwan' ispan' e-ofisini"", 'Two-Piece Blue ubab umaspala', ""Ang'sakhulumi ngomaml emakhishini"", 'Iingane zigcwell istraat ziyamukola', 'Aw ngikhulma ngoMpura uyaswenka', 'Aw ngikhulma ngo Falz uyaspenda', 'Angisakhulumi ngo Kamo uyabrega', 'Uyabrega hawu uyabrega', 'Uyabrega hawu uyabrega', 'Uyabrega hawu uyabrega', 'Uyabrega hawu uyabrega', 'Uyabrega', 'Ina kwana', 'Ina gajiya, Everything e mara mma', ""Ka'anyi wete cash for squander"", 'Ina kwana, Ina gajiya', 'Everything e mara mma', ""Ka'anyi wete cash for squander"", 'Haibo Yebo, Bathini', 'Go Monate', 'Bathini, Heh Wena,, Bathini', 'Go Monate, ishu', 'Haibo Yebo', 'Go Monate, Heh Wena, Bathini', 'Go Monate, Heh Wena', 'Ina kwana, Ina gajiya', 'Everything e mara mma', 'Kalanyi wete cash for squander', 'Ina kwana, Ina gajiya', 'Everything e mara mma', 'Kalanyi wete cash for squander', 'Ina kwana, Ina gajiya', 'Everything e mara mma', 'Kalanyi wete cash for squander']"
77eZIuMTB9HrQ86L4ljqEX,Baby Riddim,https://open.spotify.com/track/77eZIuMTB9HrQ86L4ljqEX,2021-09-30,190677,False,60,185,6dCmbmHyfCQpmJGZW9Am3b,Baby Riddim,single,4wAqlYtTaaHELEgyCh9KjG,FAVE,"['afrobeats', 'afropop', 'alte', 'nigerian pop']",58,0.549,0.0,0.0967,0.76,-5.092,2024-06-07,"['Waoh', 'Oh oh oh, oh oh', 'Oh oh oh, oh oh oh', 'Steady your face jor for me', 'I wanna take a picture', 'So this could last longer for me', 'Take my secrets', 'Guard them like precious money (precious money)', 'I never want to hear you quiet', 'So I write songs for you (write songs for you)', 'So I write songs for you (so I write songs for you)', 'And I believe', 'Yes I believe', 'I′m falling for you like a thief', 'Weak in the knees', ""'Cause when I see you"", 'I fit to steal the keys to your heart again (your heart again)', 'Yеah, yes I believе', 'Yes I believe', 'I′m falling for you like a thief', 'Weak in the knees', ""'Cause when I see you"", 'I fit to steal the keys to your heart again (your heart again)', 'My baby bad', 'My baby good', 'My baby all the things I need', 'My baby buss up the silence o', 'My baby buss up the silence o', 'My baby bad', 'My baby good', 'My baby all the things I need', 'My baby buss up the silence o', 'My baby buss up the silence', 'Steady your face jor for me', 'I wanna take a picture', 'So this could last longer for me', 'Take my secrets', 'Guard them like precious money', 'I never want to hear you quiet', 'So I write songs for you (write songs for you)', 'So I write songs for you (so I write songs for you)', 'Oppositions they come left and right', ""But I don't care"", 'Popo fit dey our front', 'Say leave you', 'But I die there', 'No more milk or malt', '′Cause you are my only strength', 'Whether rich or poor', 'I know that you are my best bet', 'And I believe', 'Yes I believe', 'I′m falling for you like a thief', 'Weak in the knees', 'I fit to steal the keys to your heart again', 'And I believe', 'Yes I believe', ""I'm falling for you like a thief"", 'Weak in the knees', 'It′s when I see you', 'I fit to steal the keys to your heart again', 'My baby bad', 'My baby good', 'My baby all the things I need', 'My baby buss up the silence o (buss up the silence o)', 'My baby buss up the silence o', 'My baby bad', 'My baby good', 'My baby all the things I need', 'My baby buss up the silence o', 'Buss up the silence o, big dirty girl']"
4qm0rzVQA3kqQ0yA7LkuFK,Tanzania (feat. Sino Msolo and Boibizza),https://open.spotify.com/track/4qm0rzVQA3kqQ0yA7LkuFK,2022-03-16,376078,False,47,185,4Clh4Zi1rvftlZsgXa0FSF,Tanzania (feat. Sino Msolo and Boibizza),single,68McnNC9twEtiynOAJRRgZ,Uncle Waffles,"['amapiano', 'barcadi']",53,0.804,0.0048,0.0536,0.586,-10.136,2024-06-07,
1V3I7dfERrC8ZdpasMdzfD,Rosemary,https://open.spotify.com/track/1V3I7dfERrC8ZdpasMdzfD,2021-10-15,188760,False,47,185,08uN83YmgRrO8MOAgApw8H,Utopia,album,2tXCRC5DEbW9crbmB6xpEn,Savage,"['afrobeats', 'nigerian pop']",39,0.822,0.0025,0.151,0.464,-7.204,2024-06-07,
3DaK8NYoDKCxV3EljvXFCV,Go Outside,https://open.spotify.com/track/3DaK8NYoDKCxV3EljvXFCV,2023-08-24,152941,False,18,185,3J49EKlW1qKyTwAt5K2Kij,Go Outside,single,2GGYWtloD2KYh0Ha6cAjsJ,IRIE SESSIONS,[],19,0.602,0.000564,0.0711,0.29,-7.725,2024-06-07,
7Mlxx8SMVwG36rVGjvRCEP,Wonder Woman,https://open.spotify.com/track/7Mlxx8SMVwG36rVGjvRCEP,2018-12-07,236000,False,29,185,2aMlq0mM1bhA2CdVChIclZ,Wonder Woman,single,0Y3agQaa6g2r0YmHPOO9rh,Davido,"['afrobeats', 'afropop', 'azontobeats', 'ghanaian hip hop', 'nigerian pop']",70,0.688,0.0,0.301,0.684,-4.37,2024-06-07,"['Bae (bae bae)', 'Teekay Witty', 'Go near my bae', 'Bae (bae bae)', 'Ye!', 'Shey na you wan go near my bae', 'You no dey fear face oh (fear face oh)', 'When no be say you don kuri', 'Abi you chop craze oh wo wo?', '(Eh) If na play make you stop am', 'As I no dey take am oh', 'Ye', 'Cause I be bad sharp guy', 'And I no dey fake am oh wo wo', 'Eh!', 'With my baby, my wonder woman', '(my baby) (Eh)', 'A super woman', '(my baby o)', 'O With my baby, my wonder woman', '(my baby) (Eh)', 'A super woman', '(my baby)', 'My special woman oh wo wo', 'See my guy (shokoyokoto)', 'Take a chill pill oh (chill out)', 'This my baby na the real deal oh (yes sir)', 'No be the one wey you fit steal oh (shokoyokoto)', 'No be the ones wey dey rush you oh', 'My baby no dey wear bum oh (chee)', 'As she dey so', 'Na follow come oh', 'All photo no be photoshop oh (shokoyokoto)', 'Fine girl!', 'No be Marykay or Blackup (Eh)', 'Shey make I wire wire', 'If na pounds or na dollar dollar', 'I go send you figure wey you go manya manya', 'Where your swag go near me', 'Me I go run am oh', '(go run am oh)', 'Say make I wire wire', 'If na pounds or na dollar dollar', 'I go send you figure wey you go manya manya', 'Wells Fargo near me', 'Me I go run am oh', '(I go run am oh)', 'Shey na you wey go near my bae', 'You no dey fear face oh (fear face oh)', 'When no be say you don kuri', 'Abi you chop craze oh wo wo (got my goons all there)', 'If na play, make you stop am', 'As I no dey take am oh (got my goons all there)', '(Ye) Cause I be bad sharp guy and', 'I no dey fake am oh wo wo', 'With my baby, my wonder woman', '(my baby) (Eh)', 'A super woman', '(my baby o)', 'O With my baby, my wonder woman', '(my baby) (Eh)', 'A super woman', '(my baby)', 'My special woman oh wo wo', 'Olobe lo loko', '(soko yo ko to)', 'Awon bi nu bi nu, tun wi', 'Wani mo je fo shoko', '(shoko yo ko to)', 'Olo be lo loko', '(soko yo ko to)', 'Awon bi nu bi nu, tun wi', 'Wani mo je fo shoko', '(shoko yo ko to)', 'Say make I wire wire', 'If na pounds or na dollar dollar', 'I go send you figure wey you go manya manya', 'Where your swag go near me', 'Me I go run am oh', '(go run am oh)', 'Shey make I wire wire', 'If na pounds or na dollar dollar', 'I go send you figure wey you go manya manya', 'Wells Fargo near me', 'Me I go run am oh', '(I go run am oh)', 'Ye!', 'Shey na you wey go near my bae', 'You no dey fear face oh (fear face oh)', 'When no be say you don kuri', 'Abi you chop craze oh wo wo?', 'If na play, make you stop am', 'As I no dey take am oh', 'Cause I be bad sharp guy', 'I no dey fake am oh wo wo', 'Eh!', 'With my baby; my wonder woman', '(my baby)', 'A super woman', '(my baby)', 'O With my baby; my wonder woman', '(my baby) (Eh)', 'A super woman', '(my baby)', 'My special woman oh wo', 'Strings mix']"
4bMbA8VYJMC2QKJYH8PDpr,Pull Up,https://open.spotify.com/track/4bMbA8VYJMC2QKJYH8PDpr,2024-05-31,167142,True,41,185,6ToVRccANedcEkdMa1eQQs,Wara Wara Szn,single,3sHq8pB8IoGvnatMuoixwd,Zerrydl,['viral afropop'],54,0.95,0.0,0.204,0.682,-7.394,2024-06-07,
59OGomfNJnA70zq7pQxkff,Ijo (Laba Laba),https://open.spotify.com/track/59OGomfNJnA70zq7pQxkff,2023-07-21,186000,False,48,185,60dzSRKqWPNVTunBR1aHal,Trench to Triumph,album,3Uv5hfyuC7TkLsQ6p4ikSb,Crayon,"['afrobeats', 'nigerian pop']",59,0.818,0.00105,0.0574,0.583,-11.382,2024-06-07,"['E no finish oh', 'E no finish oh', ""Man no fit tire, everyday I'm on the road"", 'No limit oh', 'No limit oh', 'This na, nsobu', 'Uju, Turn down for who (Turn down for you)', 'Uju, Robo robo (Robo)', 'Hmm many things we can do (We can do)', ""Hmm tori I'm into you (In to you)"", 'Uju, Wire for you (Wire oh)', ""Tonight I'll be dancing all the pain away"", 'Yeah Yeah Yeah', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Kosi isoro get up', 'Blessing for your head top', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Ota no go get us', 'Better go locate us', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Kosi isoro get up', 'Blessing for your head top', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Ota no go get us', 'Better go locate us', 'Loud am like vuvuzela', 'No one can do you better', 'Jubadi, falala for me (For me)', 'Whyne am go go shorty (Shorty)', 'Love the energy tonight (Hmm Hmm)', 'Banku dey my side', 'But na you dey my mind', 'My uju E dun show', 'This na, nsobu', 'Uju, Turn down for who (Turn down for you)', 'Uju, Robo robo (Robo)', 'Hmm many things we can do (We can do)', ""Hmm tori I'm into you (In to you)"", 'Uju, Wire for you (Wire oh)', ""Tonight I'll be dancing all the pain away"", 'Yeah Yeah Yeah', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Kosi isoro get up', 'Blessing for your head top', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Ota no go get us', 'Better go locate us', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Kosi isoro get up', 'Blessing for your head top', 'Ijo laba laba', 'Hmm Gimme your hand and shoulder', 'Ota no go get us', 'Better go locate us', 'Waoh Waoh Waoh', 'Crayway']"
