tid,track,track_url,release_date,duration_ms,explicit,track_popularity,markets,albid,album,album_type,artid,artist,genres,artist_popularity,danceability,instrumentalness,speechiness,valence,loudness,added_at,lyrics
4XZt2aMuJo5lpJ0gEzruNL,Element,https://open.spotify.com/track/4XZt2aMuJo5lpJ0gEzruNL,2024-04-26,147857,True,60,185,6dqt5Ig79hptlp4yPQAv9M,Element,single,6Kp3KWPiVgi33DkJqo9T4g,Zinoleesky,"['afrobeats', 'nigerian pop']",57,0.789,0.000555,0.163,0.39,-5.252,2024-05-31,
08tSNwcNYM9yjuYF9jFvOu,PICANTO (feat. Zlatan and ECko Miles),https://open.spotify.com/track/08tSNwcNYM9yjuYF9jFvOu,2023-10-06,184077,True,53,183,6e1McsPwHgiySHVlpZRhFx,EZIOKWU,album,3LOm0AZjpwVQebvkyanjDy,ODUMODUBLVCK,"['afro drill', 'afrobeats', 'nigerian pop']",65,0.561,0.0,0.476,0.631,-7.543,2024-05-31,"['[Odumodublvck & Zlatan]', 'J sounds killed this', 'Blvcksheep for life, Blvcksheep forever', ""Izgaaju 'til we kpeme, Antiworldgangstars"", 'Ge records, Odumodublvck, you get me', 'Fizo in the building (Prra)', 'Ibile', '[Odumodublvck & Zlatan]', 'They know I came (Ayy) in a Picanto (Kapaichumarimaichupako)', '(Hundred men) dey my doormot (Casablancadecatamatopia)', 'Kosi gateman', 'You go contact oh (Astalavi, give dem; Yes)', 'They know I came in a Picanto', 'Hundred men dey my doormot (Native)', 'Kosi gateman', 'You go contact oh (Wey, wey)', '[Odumodublvck]', 'Wey dem? (Fall out)', 'Who goes? (Check out)', 'Knack am (Dull am)', 'Jam am (March am)', 'Wey dem? (Fall out)', 'Who goes? (Check out)', 'Knack am (Dull am)', 'Jam am (March am)', 'We squeeze, we march (My boy, come on)', 'Dey tench oh (Commot body; issa bad guy)', 'We dey observe', 'Dey go discharge (Who dey? Come on)', 'We dey cantab', '[Odumodublvck]', 'Wetin I go do for you? (Ayi oh)', 'Tej gimme cloth, make I denge pose', 'Before we go march, I go sip agbo (Fi)', 'Fizo dey my back e dey mole igbo', 'Shayo dey the room', 'Desperado na why we mezebu', 'The banger wey been scatter settings for my city', 'Coti been dey find am all along (We dey jogodo; Long)', 'Today we go bomb am', 'Blow dem, shank am', 'We no fit to breath', 'The banger wey been scatter settings for my city', 'Coti been dey find am all along (How many, how many?)', 'Today we go bomb am', 'Blow dem, shank am', 'We no fit to ', '[Odumodublvck & Zlatan]', 'They know I came in a Picanto', '(Hundred men) dey my doormot', 'Kosi gateman', 'You go contact oh (Hundred men)', 'They know I came in a Picanto (In a Picanto, ooh)', 'Hundred men dey my doormot', 'Kosi gateman (Ibile)', 'You go contact oh (Ayy)', '[Zlatan]', 'I say', 'Bottega wey dey my face, no dey see enemies (See)', 'That plenty money must be made by any means (Yes)', 'Abi your papa no go like denge po', 'Inside Rolls Royce with two bad bitches from Miami?', 'Ebelebe na who come correct dey get padi', 'Young boy wey your sister dey call sugar daddy', 'Odumodu na who we see korokoro when we dey soak garri', 'Such a guy, we must gather get', 'You go fear when you see cartel', 'When we started', 'Dem look us less', 'Child of the man', 'Now everything bless', 'Now popo stop me, say e sabi person', 'Money and fame don dey', 'My eye since like thirteen', 'Booyaka, booyakam', 'When we enter, when we scatter', 'Stab anybody with my cloak and dagger', 'Ta gba gbori wole omo ase ma japa', 'Make nothing join me, join me with sapa', '[Odumodublvck]', 'They know I came in a Picanto (Oh, ooh)', 'Hundred men dey your doormot (Ooh)', 'Kosi gateman (Ooh)', 'You go contact oh', '[ECko Miles & Odumodublvck]', 'Abobi roll the kpoli make I kprass (Yeah)', 'I no get time to partake, na hin make I ask', 'Na the rabba dey my mind, I no need to cast (Eh)', 'I don grind, I don find, I no to dey cap (Blvck, eh)', '[Odumodublvck]', 'E be like say, the thing don cast', 'E be like say, your kele don kprass', 'She go jogodo (Jogodo)', 'Drop better high she go follow go, ayy', 'Secure the bag and gbese, hey', 'Throway for yansh and face, bullet', 'Today na crate by crate, we go soft and', 'Kele dey crash my place', 'I go fuck am, I go block down', 'Ego necessary', 'Owo necessary']"
5bNNaBjgl2tXKTKn6S6K9o,No One,https://open.spotify.com/track/5bNNaBjgl2tXKTKn6S6K9o,2020-09-30,226456,True,20,185,6NDRA3hD72PcRiczcVP2uu,No One,single,16XveywMtnFMsuOoHIkTtR,Pinzu,[],5,0.717,2.37e-06,0.169,0.81,-8.672,2024-05-31,
7d1aTQlsHMgWmkPywDi7h1,Omo Ope (feat. Olamide),https://open.spotify.com/track/7d1aTQlsHMgWmkPywDi7h1,2022-01-18,166153,True,62,185,6PU3yx6qtcu2BKkRMGSbdG,Omo Ope,single,3a1tBryiczPAZpgoZN9Rzg,Asake,"['afrobeats', 'nigerian pop']",71,0.905,0.000364,0.0442,0.866,-6.622,2024-05-31,
6qk3jI8bKCgURI3h0d8zBZ,Again,https://open.spotify.com/track/6qk3jI8bKCgURI3h0d8zBZ,2020-09-10,156083,False,70,185,0ZdiHNx2h4QTKwfF7fEM8j,Realms,album,1fYVmAFB7sC7eDoF3mJXla,Wande Coal,"['afrobeats', 'afropop', 'nigerian hip hop', 'nigerian pop']",58,0.654,0.0,0.36,0.552,-9.858,2024-05-31,"['(Iskaba)', 'Sweet like water wey dey inside coconut', 'Sleep after tip you gimme stamina', 'Wait for you so the same time we come up', 'Me and you at the same time', 'I never want to leave omo', 'Do dance with me omo', 'I pull up on your beach omo', ""It's time to swim omo"", 'Baby girl make you no dey lie (No lie)', 'Make you tell your friends say you dey feel this guy', 'No even waste time', ""'Cause na me you go follow 'til the day we die"", 'I mean why', ""I can't wait make your face just smile"", ""It's not a lie, you set my soul on fire"", 'So many girls have passed through (Passed through)', 'None of the girls fine pass you (Fine pass you)', ""So many things you've been through (Been through)"", 'This life would not be the same again', ""Wouldn't be the same again"", 'Would never be the same again', 'Would never be the same again oh', 'Never be the same again', 'No mind them dem dey lie to you', 'Dem talk say me me I too bad for you', 'No mind them dem dey lie to you', 'Dem talk say me me I no good for you', 'Say my heart ah girl say\xa0', ""Omo girl don't break it oh, break it oh"", 'Take it oh take it oh', 'Even if I die wake it oh, wake it oh', 'Mannah mannah take it oh', 'Whine your waist baby rate it oh, rotate it oh', 'No be me, rotate it oh, rate it', 'Whine your waist, rotate it oh ah', 'Baby girl make you no dey lie', 'Make you tell your friends say you dey feel this guy', 'No even waste time', ""'Cause na me you go follow 'til the day we die"", 'I mean why', ""I can't wait make your face just smile"", ""It's not a lie, you set my soul on fire"", 'So many girls have passed through (Passed through)', 'None of the girls fine pass you (Fine pass you)', ""So many things you've been through (been through)"", 'This life would not be the same again oh', ""Wouldn't be the same again"", 'Would never be the same again', 'Would never be the same again oh', 'Never be the same again']"
23Svoy7DMwijcs6n0OTV4u,Smile For Me,https://open.spotify.com/track/23Svoy7DMwijcs6n0OTV4u,2022-03-25,158484,False,47,185,0CfabtAzUebjIPXo7lmbRu,Bitter Sweet,single,3xBgAZIqiYzRh0Du0uXFAk,Majeeed,"['afrobeats', 'nigerian pop']",44,0.593,0.0433,0.245,0.524,-6.749,2024-05-31,
3x4Zx0rPoW6kErSDK8SSnW,My Way,https://open.spotify.com/track/3x4Zx0rPoW6kErSDK8SSnW,2017-02-22,191981,True,55,179,3o09FMrUQ5TVBUYb6msCMi,READY,single,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,"['r&b', 'rap', 'uk contemporary r&b']",65,0.812,0.0,0.173,0.193,-6.316,2024-05-31,"[""You could touch me, squeeze me, won't bust if you pull it"", 'Take my number, you can have it', ""You could call me, text me, I'll look past it"", ""If you don't know how to treat a woman"", ""Close your eyes, ain't no point in looking"", 'Over here with the weak shit', 'Get out of here with the weak shit', ""You won't get nowhere with that"", ""I had your type before, no I don't want that back"", ""Don't want that back"", 'You talk fiction, I talk facts', ""Boy if you think I'ma fall more than once for that"", 'You must be crazy, must be out of your mind, out of your mind', 'You must be drunk, you gotta be real high, real high', 'If you think I believe a word you say, word you say', ""You lookin' dumb, headed the wrong way, on a one way, baby"", 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', ""I'm like a blunt with no lighter"", ""If we break up, don't roll up, 'cause we lost the fire"", ""Once we lose it I can't fake it"", ""If you need my love to live you probably won't make it"", ""If you don't know how to treat a woman"", ""Close your eyes, ain't no point in looking"", 'Over here with the weak shit', 'Get out of here with the weak shit', ""You won't get nowhere with that"", ""I had your type before, no I don't want that back"", ""Don't want that back"", 'You talk fiction, I talk facts', ""Boy if you think I'ma fall more than once for that"", 'You must be crazy, must be out of your mind, out of your mind', 'You must be drunk, you gotta be real high, real high', 'If you think I believe a word you say, word you say', ""You lookin' dumb, headed the wrong way, on a one way, baby"", 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', 'Only my way, my way, my way goes', 'As much as I try not to look back, I', ""I do sometimes wonder where we should've been"", ""Where we could've been""]"
1IMRi5UVOV77PsAgdWDvzh,Egwu,https://open.spotify.com/track/1IMRi5UVOV77PsAgdWDvzh,2023-12-15,136132,False,72,185,4JlWlQoaf9gg1Ve5rzoSQi,Egwu,single,6zK1M4TcabpLQMNmmG2P0Q,Chike,"['afrobeats', 'afropop', 'nigerian pop']",56,0.878,0.00311,0.0473,0.57,-6.917,2024-05-31,"['Imolenization', 'Chike fun won ni pressure', 'Street orientation', 'Imolenization', 'Fun won ni pressure', 'Aiye iye', 'Aiye iye', 'Aiye iye, Aiye', 'Uhh uhh', 'Uhh uhh', 'Uhh uhh, uhh uhh', 'All my niggas sha pro pro', 'All my niggas sha pra pra', 'Cover face like Lagbaja', 'Get fila but we no dey cap', 'TikTok boys dem tap tap tap', 'Pastor do shira ba ba ba', 'Omo ijo raba ba ba', 'Feeling good paran ran', 'Music no need permission to enter your spirit', 'Anywhere, anyhow you know say you go feel me', 'Music no need permission to enter your spirit', 'Anywhere, anyhow you know say you go feel me', 'Aiye iye', 'Aiye iye', 'Aiye iye, Aiye', 'Uhh uhh', 'Uhh uhh', 'Uhh uhh, uhh uhh', 'Awilo Longomba', 'Egwu Chiké atọ ka kwa', 'Mohbad mi dikwa bad', 'I am living like no other', 'Egwu anyị ana kwa ajụ kwa ajụ', 'Nya bido bawa gi ime', 'I no fit talk am you go know', 'Feeling good paran ran', 'Aiye iye', 'Aiye iye', 'Aiye iye, Aiye', '(Music no need permission to enter your spirit)', 'Uhh uhh', 'Uhh uhh', 'Uhh uhh, uhh uhh']"
5DQNmhDFcpQucm1H6nEgUf,Eru,https://open.spotify.com/track/5DQNmhDFcpQucm1H6nEgUf,2020-10-07,183353,True,34,185,6fG2eFCgUmytQWL6umtsCh,Carpe Diem,album,4ovtyvs7j1jSmwhkBGHqSr,Olamide,"['afrobeats', 'afropop', 'azonto', 'nigerian hip hop', 'nigerian pop']",64,0.802,0.098,0.0545,0.843,-5.482,2024-05-31,"['Blow the money blow the money', 'Make the people manya', 'Make the people manya o', 'Blow the money blow the money', 'Make the girls dem whine up', 'Make the girls dem whine up', 'Ko le remi rara', 'Ko le remi rara o (eru omo eru-eru, ebe omo ebe)', 'Eyin ma nawo tan', 'Awa alowo’nle (eru omo eru-eru, ebe omo ebe)', 'Baby biko cooloo down', 'I want be ur alobam', 'The thing wey u carry for back', 'Fit make a grown man start to de kneel', 'Sangalo mi sangalo mi', 'Mu kolo mi mu kolo', 'Wa nawo mi wa nawo mi', 'Baby start to de go low', 'Skibi skibo bobo ski bobo', 'Tibi toropotor toh ropor', 'Gimme opor por por por oporpor', 'O ye kalepopo kalepo', 'Make the people manya', 'Make the people manya o', 'Blow the money blow the money', 'Make the girls dem whine up', 'Make the girls dem whine up', 'Ko le remi rara', 'Ko le remi rara o (Eru omo eru-eru, ebe omo ebe)', 'Eyin ma nawo tan', 'Awa alowo’nle (Eru omo eru-eru, ebe omo ebe)', 'The way you- you shaking that your ah', 'You de make me want to hmm', 'Girl I want to touch your ah', 'And I want to dance with you', 'This ur body oleku', 'Kerewawa Zulezu', 'Tell me what you want to do', 'Oya make we rendezvous', 'Skibi skibo bobo ski bobo', 'Tibi toropotor toh ropor', 'Gimme opor por por por', 'Oporpor', 'O ye kalepopo kalepo', 'Ko le remi rara', 'Ko le remi rara o (Eru omo eru-eru, ebe omo ebe)', 'Eyin ma nawo tan', 'Awa alowo’nle (Eru omo eru-eru, ebe omo ebe)']"
4sWYnqLsTjpCVAfd51c4Kx,Low,https://open.spotify.com/track/4sWYnqLsTjpCVAfd51c4Kx,2023-03-31,232555,True,46,185,3XZux8CL117KU7TVPSFZSm,Low,single,6rTfu2xbIRFJu8l8ubxGgd,Boinas,[],27,0.753,0.0116,0.0822,0.765,-5.6,2024-05-31,
